JPS1917|Numbers 16:1|c1,Numbers 16:1,Korach,"Now {{c1::Korah}}, the son of Izhar, the son of Kohath, the son of Levi, with Dathan and Abiram, the sons of Eliab, and On, the son of Peleth, sons of Reuben, took men;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:1|c2,Numbers 16:1,Korach,"Now Korah, the son of {{c1::Izhar}}, the son of Kohath, the son of Levi, with Dathan and Abiram, the sons of Eliab, and On, the son of Peleth, sons of Reuben, took men;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:2|c1,Numbers 16:2,Korach,"and they rose up in face of {{c1::Moses}}, with certain of the children of Israel, two hundred and fifty men; they were princes of the congregation, the elect men of the assembly, men of renown;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:2|c2,Numbers 16:2,Korach,"and they rose up in face of Moses, with certain of the children of {{c1::Israel}}, two hundred and fifty men; they were princes of the congregation, the elect men of the assembly, men of renown;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:3|c1,Numbers 16:3,Korach,"and they assembled themselves together against {{c1::Moses}} and against Aaron, and said unto them: ‘Ye take too much upon you, seeing all the congregation are holy, every one of them, and the LORD is among them; wherefore then lift ye up yourselves above the assembly of the LORD?’",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:3|c2,Numbers 16:3,Korach,"and they assembled themselves together against Moses and against {{c1::Aaron}}, and said unto them: ‘Ye take too much upon you, seeing all the congregation are holy, every one of them, and the LORD is among them; wherefore then lift ye up yourselves above the assembly of the LORD?’",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:4|c1,Numbers 16:4,Korach,"And when {{c1::Moses}} heard it, he fell upon his face.",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:5|c1,Numbers 16:5,Korach,"And he spoke unto {{c1::Korah}} and unto all his company, saying: ‘In the morning the LORD will show who are His, and who is holy, and will cause him to come near unto Him; even him whom He may choose will He cause to come near unto Him. .",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:5|c2,Numbers 16:5,Korach,"And he spoke unto Korah and unto all his company, saying: ‘In the morning the LORD will show who are His, and who is holy, and will cause him to come near unto Him; even him whom {{c1::He}} may choose will He cause to come near unto Him. .",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:6|c1,Numbers 16:6,Korach,"This do: take you censers, {{c1::Korah}}, and all his company;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:6|c2,Numbers 16:6,Korach,"This do: take you {{c1::censers}}, Korah, and all his company;",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:7|c1,Numbers 16:7,Korach,"and put fire therein, and put incense upon them before the LORD to-morrow; and it shall be that the man whom the LORD doth choose, he shall be holy; ye take too much upon you, ye sons of {{c1::Levi}}.’",Torah::Numbers::Korach Type::AutoCloze
JPS1917|Numbers 16:7|c2,Numbers 16:7,Korach,"and put fire {{c1::therein}}, and put incense upon them before the LORD to-morrow; and it shall be that the man whom the LORD doth choose, he shall be holy; ye take too much upon you, ye sons of Levi.’",Torah::Numbers::Korach Type::AutoCloze
